ORG_TYPE_IDENT,ORG_TYPE_ID,DESCRIPTION,RECORD_CREATION_DATE,DATABASE_NAME,EXTERNAL_LOCATION,STREAM_LOAD_DATETIME
1,1,Customer,11/21/13 9:19,hstm_bi_hlcdb3,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:19,hstm_bi_hlcdb3,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:19,hstm_bi_hlcdb3,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:19,hstm_bi_hlcdb3,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:41,hstm_bi_hlcdb3,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
-99,0,Unspecified,1/1/00 0:00,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,5/19/21 13:04,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,5/19/21 13:04,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,5/19/21 13:04,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,5/19/21 13:04,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,5/19/21 13:04,hstm_bi_hlcdb23,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
-99,0,Unspecified,1/1/00 0:00,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,2/23/17 9:46,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,2/23/17 9:46,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,2/23/17 9:46,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,2/23/17 9:46,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_hlcdb21,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:16,hstm_bi_hlcdb1,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:16,hstm_bi_hlcdb1,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:16,hstm_bi_hlcdb1,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:16,hstm_bi_hlcdb1,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb1,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:51,hstm_bi_hlcdb12,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:51,hstm_bi_hlcdb12,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:51,hstm_bi_hlcdb12,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:51,hstm_bi_hlcdb12,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_hlcdb12,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:26,hstm_bi_hlcdb2,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:26,hstm_bi_hlcdb2,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:26,hstm_bi_hlcdb2,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
