PROPERTY_KEY,PROPERTY_NAME,PROPERTY_ID,Accounting,PROPERTY_CODE,SDS_CASINO_ID,CMP_GAME_CHARACTER
4,Wind Creek Atmore,4,WCA,WCA,WCA,W
3,Wind Creek Montgomery,3,WCM,TPC,WCM,T
2,Wind Creek Wetumpka,2,WCW,RPC,WCW,R
261,Wind Creek Bethlehem,10001013,WCB,HBC,WCB,H
161,Crystal Casino,10000509,ARU,CRY,ACC,C
162,Seaport Casino,10000510,ARU,SEA,ASP,S
201,Carnaval Casino,10000512,CUR,UCC,CCC,U
221,Wa She Shu,10000513,WGF,NVW,WGF,N
6,Creek Entertainment Gretna,10000006,CEG,GEC,,
7,Pensacola Greyhound Racing,10000007,PGR,PGR,,
8,Blue Wind Creek,10000008,,BWC,,
41,Online Casino,10000009,,ONL,,
42,RMG Pala Online Casino,42,,RMG,,
361,Wind Creek Illinois Chicago Southland,10001513,,ICS,,
101,MyClub,0,,MC,,
163,Conversion Default,10000511,,XCV,,
321,Conversion Default 1,5,,ZCV,,
1,Creek Casino,1,,APC,,
